source,target
5.3.3: Discrimination for Chhaupadi and mensturation (%),Have to live in animal shed during menstrual period
5.3.3: Discrimination for Chhaupadi and mensturation (%),Have to eat different types of food during menstrual period
5.3.3: Discrimination for Chhaupadi and mensturation (%),Have to bath in separate place during menstrual period
5.3.3: Discrimination for Chhaupadi and mensturation (%),Have to be absent from school or work during menstrual period
5.3.3: Discrimination for Chhaupadi and mensturation (%),Have to avoid social gatherinds during menstrual period
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),Took away privileges
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),Explained why behaviour was wrong
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),Shook child
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),"Shouted, yelled or screamed at child"
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),Gave child something else to do
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),"Spanked, hit or slapped child on bottom with bare hand"
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),"Hit child on the bottom or elsewhere with belt, brush, stick, etc."
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),"Called child dumb, lazy or another name"
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),"Hit or slapped child on the face, head or ears"
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),"Hit or slapped child on the hand, arm or leg"
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),Beat child up as hard as one could
5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%),Child needs to be physically punished to be brought up properly
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Agriculture
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Non-Agriculture
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Own Business
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Own Agriculture
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Food Processing
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Handicrafts
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Construction & Repairs
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Fetching Water
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Firewood Collection
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Other Activities
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days (For Economic Activity)
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Cooking/Serving Food for Household
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Cleaning Utensils/House
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Minor Household Repairs
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Shopping for Household
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Caring for the Old/Sick/Infirm
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Child Care
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days in Other Volunteer/Community Services
5.4.1: Ratio of women to men participation in labour force,Hours Worked During Last 7 Days for House/Community
5.4.1: Ratio of women to men participation in labour force,Length of Time has been Available for Work
5.4.2: Average hours spent in domestic work by women, a) hours spent on fetching water
5.4.2: Average hours spent in domestic work by women, b) hours spent on firewood collecting
5.4.2: Average hours spent in domestic work by women, c) hours spent on fodder collecting
5.4.2: Average hours spent in domestic work by women, d) hours spent on care animal
5.4.2: Average hours spent in domestic work by women, e) hours spent on knitting/weaving/tailoring
5.4.2: Average hours spent in domestic work by women, f) hours spent on processing preserved food
5.4.2: Average hours spent in domestic work by women, g) total hours spent for [a-f]
5.4.2: Average hours spent in domestic work by women, h) hours spent on hhld repairing
5.4.2: Average hours spent in domestic work by women, i) hours spent on cooking/serving food
5.4.2: Average hours spent in domestic work by women, j) hours spent on cleaning house
5.4.2: Average hours spent in domestic work by women, k) hours spent on shopping
5.4.2: Average hours spent in domestic work by women, l) hours spent on caring for elderly/sick/disabled
5.4.2: Average hours spent in domestic work by women, m) hours spent on baby sitting/child caring
5.5.1: Seats held by women in the national parliament (%),Members elected in constitutional bodies
5.5.2: Seats held by women in the local government bodies (%),Members elected in constitutional bodies
5.a.1: Proportion of pro-gender budget (directly benefiting women) (%),Budget
5.a.3: Women's ownership of property (land and house),female ownership in house
5.a.3: Women's ownership of property (land and house),Having female ownership in land
5.a.3: Women's ownership of property (land and house),Area of land on female ownership - Bigha
5.a.3: Women's ownership of property (land and house),Area of land on female ownership - Kattha
5.a.3: Women's ownership of property (land and house),Area of land on female ownership - Dhur
5.a.3: Women's ownership of property (land and house),Area of land on female ownership - Ropani
5.a.3: Women's ownership of property (land and house),Area of land on female ownership - Aana
5.a.3: Women's ownership of property (land and house),Area of land on female ownership - Paisa
5.b.1: Exposure to mass media by women aged 15-49 years (%),Frequency of reading newspaper or magazine
5.b.1: Exposure to mass media by women aged 15-49 years (%),Frequency of listening to radio
5.b.1: Exposure to mass media by women aged 15-49 years (%),Frequency of watching television
5.b.1: Exposure to mass media by women aged 15-49 years (%),Frequency of listening to the radio
5.b.1: Exposure to mass media by women aged 15-49 years (%),Frequency of watching TV
5.b.1: Exposure to mass media by women aged 15-49 years (%),Ever used a computer
5.b.2: Use of computers by women aged 15-24 years (%),Ever used a computer
5.b.2: Use of computers by women aged 15-24 years (%),Computer usage in the last 12 months
5.b.2: Use of computers by women aged 15-24 years (%),Frequency of computer usage in the last month
5.b.3: Use of Internet by women aged 15-24 years (%),Ever used internet
5.b.3: Use of Internet by women aged 15-24 years (%),Internet usage in the last 12 months
5.b.3: Use of Internet by women aged 15-24 years (%),Frequency of Internet usage in the past month
6.1.1: Household with access to piped water supply (%), piped water connected to house
6.1.1: Household with access to piped water supply (%),Main source of drinking water
6.1.2: Basic water supply coverage (%), piped water connected to house
6.1.2: Basic water supply coverage (%),Main source of drinking water
6.1.3: Households with E. coli risk level in household water ? 1 cfu/100ml) (%),Household selected for water quality testing
6.1.3: Households with E. coli risk level in household water ? 1 cfu/100ml) (%),Household selected for source water testing
6.1.4: Household with E. coli risk level in source water ? 1 cfu/100ml (%),Household selected for water quality testing
6.1.4: Household with E. coli risk level in source water ? 1 cfu/100ml (%),Household selected for source water testing
6.1.5: Population using safe drinking water (%),Household selected for water quality testing
6.1.5: Population using safe drinking water (%),Household selected for source water testing
6.1.6: Turbidity (Nephelometric turbidity unit - NTU) (%),Household selected for water quality testing
6.1.6: Turbidity (Nephelometric turbidity unit - NTU) (%),Household selected for source water testing
6.2.1: Households using improved sanitation facilities which are not shared (%),Type of toilet facility
6.2.2: Proportion of population using latrine (%),Type of toilet facility
7.1.1: Per capita energy (final) consumption (in GJ),[Peak Demand]
7.1.2: Proportion of population access to electricity (%),Has electricity
7.1.2: Proportion of population access to electricity (%),Source of lighting
7.1.3: Households using solid fuel as primary source of energy for cooking (%),Fuel for cooking
7.1.4: People using liquid petroleum gas (LPG) for cooking and heating (%),Fuel for cooking
7.1.5: Electricity consumption (k Wh per capita),[Peak Demand]
7.2.1: Share of renewable energy in total energy (final) consumption (%),Energy Consumption
7.2.2: Installed capacity of hydropower (MW),[Hydro Generation]
7.3.1: Commercial energy use per unit of GDP (ToE/mRs),[Users of electricity]
7.3.2: Energy efficiency in Industry ( MJ per 1000 rupees of product),Fuel ID
7.3.2: Energy efficiency in Industry ( MJ per 1000 rupees of product),Annual purchase quantity
7.3.2: Energy efficiency in Industry ( MJ per 1000 rupees of product),Total annual production
8.1.1: Per capita GDP growth,Gross Domestic Product  (GDP)
8.2.1: Growth of agricultural sector (%),Agriculture and forestry
8.2.2: Growth of construction sector (%),Construction
8.2.3: Annual growth of real GDP per employed person (%),Gross Domestic Product  (GDP)
8.3.2: Proportion of informal employment in non-agriculture employment (%),No. of Regular Paid Employees
8.3.3: Access to Cooperatives (% of households within 30 min walk), facility code
8.3.3: Access to Cooperatives (% of households within 30 min walk), facility description
8.3.3: Access to Cooperatives (% of households within 30 min walk), way to travel to the closest facility
8.3.3: Access to Cooperatives (% of households within 30 min walk), time to go to/days
