Recipient Organization,deliverychannel,,
PSR / IPPNW,Other,,
Psykisk Helsevern Østfold HF v/ Norum,Other,,
PTM - Paz y Tercer Mundo,NGOs and CSOs,,
PTT Public Company Limited,Other,,
Public Accounts Committee,Other,,
Public Affairs Committee,Other,,
Public Welfare Foundation,NGOs and CSOs,,
Publix,Other,,
Puerto Rico,Public sector,,
PUMP AID,NGOs and CSOs,,
PUNTO SUD,NGOs and CSOs,,
Purpose Foundation,NGOs and CSOs,,
Pyoe Pin,Other,,
Qandil,NGOs and CSOs,,
Qatar,Public sector,,
Qatar Charitable Society,NGOs and CSOs,,
Qatar Charity,NGOs and CSOs,,
Qatar Red Crescent,Red Cross,,
Qatar Red Crescent Society,Red Cross,,
"QED Limited, LLC",Other,,
Quaker United Nations Office,NGOs and CSOs,,
Qualcomm Inc.,Other,,
Questscope,NGOs and CSOs,,
"QVC, Inc.",Other,,
Qwest Foundation ,NGOs and CSOs,,
"Raad, Liv",Other,,
Rabbis for Human Rights,Other,,
Radanar Ayar Association,NGOs and CSOs,,
Radio SAWA,Other,,
Radisson SAS,Other,,
Raf-Thani Foundation,NGOs and CSOs,,
"Raftostiftelsen, prosjekt",Other,,
Raggio di Luce ,Other,,
Rahma Islamic Relief Fund,NGOs and CSOs,,
Rahmo Rehabilitation Organisation,NGOs and CSOs,,
Rainbow Gateway,Other,,
Rainwater Association of Somalia,Other,,
RAK Ceramics,Other,,
Random House,Other,,
Rape Crisis Centre,NGOs and CSOs,,
Raqeep Organization for Human Rights,NGOs and CSOs,,
Rasawad Welfare Association,Other,,
Rawa Association,NGOs and CSOs,,
Raygroup SAS,Other,,
Raytheon,Other,,
RBC,Other,,
RCN Justice Democratie,NGOs and CSOs,,
RCO,Other,,
RCT,Other,,
RDN,Other,,
REA - Réhabilitation  Education Aide social,NGOs and CSOs,,
Reach Out,NGOs and CSOs,,
Reach Out Initiative,NGOs and CSOs,,
Reach Out To Asia,NGOs and CSOs,,
Rebatisseurs de la muraille des oeuvres de Dieu,NGOs and CSOs,,
RECSASEC - Regional Centre on Small Arms and Light Weapons,Other,,
Red Crescent Society of Azerbaijan,Red Cross,,
Red Crescent Society of Djibouti,Red Cross,,
Red Crescent Society of Kyrgyzstan,Red Cross,,
Red Crescent Society of Tajikistan,Red Cross,,
Red Crescent Society of the Islamic Republic of Iran,Red Cross,,
Red Crescent Society of the United Arab Emirates,Red Cross,,
Red Crescent Society of Uzbekistan,Red Cross,,
Red Cross,Red Cross,,
Red Cross of Cape Verde,Red Cross,,
Red Cross of Chad,Red Cross,,
Red Cross of Monaco,Red Cross,,
Red Cross of Montenegro,Red Cross,,
Red Cross of Serbia,Red Cross,,
Red Cross of the Democratic Republic of the Congo,Red Cross,,
"Red Cross of The Former Yugoslav Republic of Macedonia, The",Red Cross,,
Red Cross of Viet Nam,Red Cross,,
Red Cross Society of Bosnia and Herzegovina,Red Cross,,
Red Cross Society of China,Red Cross,,
Red Cross Society of Georgia,Red Cross,,
Red Cross Society of Niger,Red Cross,,
Red Cross Society of Panama,Red Cross,,
Red Cross Society of the Democratic People's Republic of Korea,Red Cross,,
Red Cross Society of the Republic of Moldova,Red Cross,,
Red R,NGOs and CSOs,,
REDOG,Other,,
RedR,NGOs and CSOs,,
RedR UK,Red Cross,,
Refugee Education Trust,NGOs and CSOs,,
Refugee Studies Centre,NGOs and CSOs,,
Refugee Trust,NGOs and CSOs,,
Refugees InterNational,NGOs and CSOs,,
Regence Foundation,NGOs and CSOs,,
Regional Centre Small Arms Light Weapons,Other,,
Regional Govt of Lambayeque (Peru),Public sector,,
Regnskogfondet,NGOs and CSOs,,
Rehabilitation and Research Centre for Torture Victims,NGOs and CSOs,,
Rehabilitation InterNational,NGOs and CSOs,,
Relationships Foundation InterNational,NGOs and CSOs,,
Relief and Recovery Unit - Zimbabwe,Multilateral,,
Relief InterNational,NGOs and CSOs,,
Religiosas de Jesus-Maria,Other,,
Religiosas Franciscanas Mision,Other,,
Religiosas Hermanas Terciarias,Other,,
Remedial English and Science Course Centre,NGOs and CSOs,,
Reporters Sans Frontières,NGOs and CSOs,,
Reprise de Justesse,NGOs and CSOs,,
Republic of Korea National Red Cross,Red Cross,,
Republic of South Sudan,Public sector,,
Rescue South Africa,NGOs and CSOs,,
Research Council of Norway,NGOs and CSOs,,
Reseau des Entrepreneurs Solidaires,NGOs and CSOs,,
Resident Coordinators Support Office,Multilateral,,
Response InterNational,NGOs and CSOs,,
Responsive,Other,,
REST - Relief Society of Tigray,NGOs and CSOs,,
RESTART,Other,,
Results Japan,Other,,
Reunion,Other,,
Reynolds American Foundation,NGOs and CSOs,,
RHA,Other,,
Richard and Susan Smith Family Foundation,NGOs and CSOs,,
Right to Live Society,NGOs and CSOs,,
Right to Play,NGOs and CSOs,,
Ripley,Other,,
Risk and Insurance Management Society,Other,,
Rissho Koseikai,Other,,
Rite Aid,Other,,
Riverine Relief Program,Other,,
Riverside Technologies Inc.,Other,,
RKV - Flemish Red Cross,Red Cross,,
RMS Foundation,Other,,
Rockefeller Foundation,NGOs and CSOs,,
Rockwell Collins,Other,,
Roddick Foundation,NGOs and CSOs,,
ROFI Industrier AS,Other,,
Rogers Communications,Other,,
ROKPA,NGOs and CSOs,,
ROLEX,Other,,
Romania,Public sector,,
Romania Red Cross,Red Cross,,
Romanian Red Cross,Red Cross,,
Ronald McDonald House Charities,NGOs and CSOs,,
RONCO Consulting Corporation,Other,,
Root of Grass,Other,,
ROPKA InterNational,NGOs and CSOs,,
Rosalia Hoog,Other,,
Roshni Development Organization,NGOs and CSOs,,
"Ross Stores, Inc.",Other,,
ROSSAIR,Other,,
Rotary Club of Shanghai,NGOs and CSOs,,
Rotary Fiji,Other,,
Rotary InterNational,NGOs and CSOs,,
Rothschild Estates,Other,,
Roy A. Hunt Foundation,NGOs and CSOs,,
Royal Bank of Canada,Other,,
Royal Caribbean InterNational,Other,,
Royal Danish Embassy - Jakarta,Public sector,,
Royal Danish Representative Office in Colombo,Public sector,,
Royal Health Awareness Society,NGOs and CSOs,,
RTI,Other,,
Ruedi Leuppi Stiftung Elfenbeinküste,NGOs and CSOs,,
Rufaid Health Foundation,NGOs and CSOs,,
Rufaida Health Foundation,NGOs and CSOs,,
Rumänienhilfe Liebenau,NGOs and CSOs,,
Rumänienhilfe Schärding,NGOs and CSOs,,
Rural Agency for Community Development and Assistance,NGOs and CSOs,,
Rural Capacities Development Committee,Other,,
Rural Centre for Sustainable Development,Other,,
Rural Development Foundation,NGOs and CSOs,,
Rural Development Initiative,Other,,
Rural Development Project,Other,,
Rural Empowerment and Institutional Development,Other,,
Rural Focus,NGOs and CSOs,,
Rural Reconstruction Nepal,NGOs and CSOs,,
Rural Support Programmes Network,Other,,
Rural Water and Sanitation Support Agency,Public sector,,
Russia Red Cross,Red Cross,,
Russian Federation,Public sector,,
Russian Red Cross Society,Red Cross,,
Rwanda,Public sector,,
Rwanda Red Cross ,Red Cross,,
Rwandan Red Cross ,Red Cross,,
RWSSP,Other,,
SAACID,NGOs and CSOs,,
Sabou Guinee,NGOs and CSOs,,
Sad Africa,NGOs and CSOs,,
Sada Al Irak Organisation,NGOs and CSOs,,
SADRI,Other,,
SAF - Science and Arts Foundation,NGOs and CSOs,,
Safa Marwa Relief and Development Organization,Other,,
SaferAfrica,NGOs and CSOs,,
Saferworld,NGOs and CSOs,,
Safeway Inc,Other,,
SAFRA Edmond J. Philanthropic Foundation,NGOs and CSOs,,
Saga Falabella,Other,,
Sage Organisation,NGOs and CSOs,,
Sagric InteNational Pty Ltd,Other,,
SAH - Schweizerisches Arbeiterhilfswerk,NGOs and CSOs,,
Sahkar Dost Welfare Association,NGOs and CSOs,,
SAIH - Studentenes og Akademikernes Internasjonale Hjelpefond,Other,,
Saint Barbara Foundation,NGOs and CSOs,,
Saint Lucia,Public sector,,
Saint Vincent and the Grenadines,Public sector,,
SALAM YA SUGHAR FUND,NGOs and CSOs,,
Salama Medical Agency,Other,,
Salesian Missions,Other,,
Salvadorean Red Cross Society,Red Cross,,
Salvation Army,NGOs and CSOs,,
SAM - Schweizer Allianz Mission,NGOs and CSOs,,
SAM - Schweizer Allianz Mission ,NGOs and CSOs,,
Sama Al-Yemen Development Foundation,NGOs and CSOs,,
Samaritan's Purse,NGOs and CSOs,,
Samenwerkende Hulporganisaties,NGOs and CSOs,,
Samerådet,Other,,
Sametinget,Other,,
Samir Kassir Foundation,NGOs and CSOs,,
Samis,Other,,
Samisk Høgskole,NGOs and CSOs,,
Samoa,Public sector,,
Samoa Red Cross,Red Cross,,
Samoa Red Cross Society,Red Cross,,
Samsung Group,Other,,
Samusocial Peru,NGOs and CSOs,,
San Diego Foundation,NGOs and CSOs,,
San Marino,Public sector,,
San Remo Institute for Humanitarian Law,NGOs and CSOs,,
SANAD Charity Foundation,NGOs and CSOs,,
SANAR YURDATAPAN  - FEA,Other,,
Sangtani Women Rural Development Organization,NGOs and CSOs,,
Sanitary of Epidemiological Station,Other,,
SANOFI,Other,,
Santa Isabel Market,Other,,
Santé Diabète,NGOs and CSOs,,
Santé Mali Rhône Alpes,NGOs and CSOs,,
Santé pour le Développement et la Stabilité d’Haïti,NGOs and CSOs,,
Sante Sud,NGOs and CSOs,,
Sant''Egidio,Other,,
Sarhad Rural Support Programme,NGOs and CSOs,,
Sarvodaya Shramadana Movement,NGOs and CSOs,,
Sath Development Organization,NGOs and CSOs,,
Satunama,NGOs and CSOs,,
Saude em Portugues,NGOs and CSOs,,
Saúde em Português,NGOs and CSOs,,
Saudi Arabia (Kingdom of),Public sector,,
Saudi Arabian Red Crescent Society,Red Cross,,
Saudi Committee,Public sector,,
Saudi Public Campaign for Lebanon and Palestine,Other,,
Saudi Red Crescent ,Red Cross,,
Save and Serve,NGOs and CSOs,,
Save Somali Women & Children,NGOs and CSOs,,
Save the Children ,NGOs and CSOs,,
Save the Children - Canada,NGOs and CSOs,,
Save the Children - Denmark,NGOs and CSOs,,
Save the Children - France,NGOs and CSOs,,
Save the Children - Japan,NGOs and CSOs,,
Save the Children - Netherlands,NGOs and CSOs,,
Save the Children - Norway,NGOs and CSOs,,
Save the Children - Sri Lanka,NGOs and CSOs,,
Save the Children - Sweden,NGOs and CSOs,,
Save the Children - Uganda,NGOs and CSOs,,
Save the Children - United Kingdom,NGOs and CSOs,,
Save the Children - USA,NGOs and CSOs,,
Save the Children Alliance,NGOs and CSOs,,
Save the Children Federaton Inc.,NGOs and CSOs,,
"Save the Children, Youths and Women Organization",NGOs and CSOs,,
Sawaid Health Organization,NGOs and CSOs,,
SC - Caritas,NGOs and CSOs,,
SC/US and World Vision,Other,,
SCA Tissue,Other,,
Scanagri,Other,,
Scandinavian Children's Mission ,NGOs and CSOs,,
SCD-RB,Other,,
Schering-Plough Corporation,Other,,
Schools Association for Formal Education,Other,,
Schulte Roth & Zabel LLP,Other,,
SCO,Multilateral,,
SCOR Group,Other,,
Scotiabank,Other,,
Scottish Catholic InterNational Aid Fund,NGOs and CSOs,,
Scottish Executive,Public sector,,
Scottrade,Other,,
SDW,Other,,
Search for Common Ground,NGOs and CSOs,,
Seattle Foundation,NGOs and CSOs,,
Second Harvest Japan,Other,,
SECONRED,Other,,
Secours Catholique et Développement,NGOs and CSOs,,
Secours Islamique,NGOs and CSOs,,
Secours Islamique France,NGOs and CSOs,,
Secours Populaire Francais,NGOs and CSOs,,
Sécurité civile,NGOs and CSOs,,
Sedec-Hudec,Other,,
Seeds of Peace,NGOs and CSOs,,
Seestern e.V.,NGOs and CSOs,,
"Seismic Research Unit, Univ. of West Indies",NGOs and CSOs,,
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region,Other,,
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region ,Other,,
Self Employment Womens' Association,NGOs and CSOs,,
Sempra Energy Foundation,NGOs and CSOs,,
Senegal,Public sector,,
Senter for Krisepsykologi,NGOs and CSOs,,
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",NGOs and CSOs,,
Sentinelles,Other,,
Seobu Annual Conference of the KMC,Other,,
Serbia ,Public sector,,
Serbia and Montenegro,Public sector,,
Serbia and Montenegro Red Cross,Red Cross,,
Serve Pastoralist International,NGOs and CSOs,,
Service Health Relief Development Organization,Other,,
SERVICE INT. POUR LES DROITS DE L HOMME,Other,,
SERVICE plus GMBH,Other,,
Service Social InterNational  ,NGOs and CSOs,,
SERVICIO PAZ Y JUSTICIA,Other,,
SES World Skies,Other,,
SE-SINAPRED,Other,,
Sewa Development Trust Sindh,Other,,
Sewa Lanka Foundation,NGOs and CSOs,,
Sewalanka,NGOs and CSOs,,
Seychelles,Public sector,,
Seychelles Red Cross,Red Cross,,
Seychelles Red Cross Society,Red Cross,,
Seylan Bank Limited,Other,,
Sezam,NGOs and CSOs,,
SFCG/RDC,NGOs and CSOs,,
SHA/National Autonomous University of Nicaragua,NGOs and CSOs,,
SHA/NRE,Other,,
Shah Sachal Sami Foundation,NGOs and CSOs,,
Shahrukhi Rehabilitation Project,NGOs and CSOs,,
Shaik Abdallah Nouri Association,NGOs and CSOs,,
SHAML - Palestinian Diaspora and Refugee Center ,NGOs and CSOs,,
Shanti Volunteer Association,NGOs and CSOs,,
Sharaja,Other,,
SHARE,Other,,
Share Association of Guatemala,Other,,
Share our Strength,Other,,
Sharek Youth Forum ,NGOs and CSOs,,
Sharjah Charity House,Other,,
Sharukhi Rehabilitation Project,Other,,
Sharukhi Rehabilitation Project ,Other,,
Sheikh Mohammad Shami Foundation,NGOs and CSOs,,
Sheikh Thani bin Abdullah Foundation for Humanitarian Services,NGOs and CSOs,,
Shell Nigeria,Other,,
Shell Oil Company,Other,,
Shelter Centre,NGOs and CSOs,,
Shelter for Life,NGOs and CSOs,,
Shelter Now InterNational ,NGOs and CSOs,,
ShelterBox,NGOs and CSOs,,
Sheraton Hotel,Other,,
Sherrit,Other,,
Shifa Foundation,NGOs and CSOs,,
SHIFT,Other,,
Shilale Rehabilitation and Ecological Concern,NGOs and CSOs,,
Shining Future Humanitarian Organization,NGOs and CSOs,,
Shining Light Community Development Organization,NGOs and CSOs,,
Shinnyo-en,Other,,
Shinnyo-en ,Other,,
"Shionogi & Co., Ltd",Other,,
Shionogi Pharma Inc.,Other,,
Shipman & Goodwin LLP,Other,,
Sibro,Other,,
Siemens AG,Other,,
Siemens Water Technologies,Other,,
Sierra Leone,Public sector,,
SIF-France,Other,,
SIG - Canton's Industrial Services - Geneve (CH),Other,,
Sign of Hope,NGOs and CSOs,,
Silicon Valley Community Foundation,NGOs and CSOs,,
SIM Canada,NGOs and CSOs,,
Sindh Agriculture and Forestry Workers Cooperation Organization,Other,,
Sindh Radiant Organisation,Other,,
Singapore,Public sector,,
Singapore InterNational Foundation,NGOs and CSOs,,
Singapore Red Cross,Red Cross,,
Singapore Red Cross Society,Red Cross,,
SIPRI,NGOs and CSOs,,
Siriri,NGOs and CSOs,,
Sivilombudsmannen,Public sector,,
"Skadden, Arps, Slate, Meagher, & Flom LPP & Affiliates",Other,,
Skanska,Other,,
Skeiv Solidaritet,NGOs and CSOs,,
Skills Active Forward,NGOs and CSOs,,
SKUPAJ,NGOs and CSOs,,
SkyLink,Other,,
Slavik,Other,,
Slovak Red Cross,Red Cross,,
Slovakia,Public sector,,
Slovenia,Public sector,,
Slovenian Red Cross,Red Cross,,
Small Arms Survey,NGOs and CSOs,,
SMU - Strategic Monitoring Unit (Afghanistan),Multilateral,,
SNG,Other,,
Social and Humanitarian Assistance Organization,Other,,
Social Economical Environmental Developers ,Other,,
Social Humanitarian Economical Intervention for Local Development,NGOs and CSOs,,
Social Impact,NGOs and CSOs,,
Social Life and Agricultural Development Organisation,NGOs and CSOs,,
Social Solidarity Organisation,Other,,
"Social, Humanitarian, Economical Intervention for Local Developmen",NGOs and CSOs,,
Société Algérienne de Recherche en Psychologie,NGOs and CSOs,,
"Société Axis, Centre orthopédique d'Assomption",NGOs and CSOs,,
SOCIETE DE COOPERATION POUR LE DEVELOPPEMENT DE FIZI  (SOCOODEFI),NGOs and CSOs,,
"Société Générale de Solidarité, S.A.",NGOs and CSOs,,
Société Kolping,NGOs and CSOs,,
Society Development Initiative Organization,Other,,
Society for Awareness and Change,Other,,
Society for Community Development,NGOs and CSOs,,
Society for Conservation and Protection of Environment,Other,,
Society for Human and Institutional Development,NGOs and CSOs,,
Society for Humanitarian Solidarity,NGOs and CSOs,,
"Society for Skills, Trainings & Development",Other,,
Society for Sustainable Development,Other,,
"Society for the Advancement, Community, health, Education and Training",NGOs and CSOs,,
Society of Physically Handicapped People,Other,,
SODI - Solidaritätsdienst-InterNational ,NGOs and CSOs,,
Soeurs missionnaires de la charite (Mere Teresa),Other,,
SOHDO,Other,,
Soka Gakkai,NGOs and CSOs,,
Sol Inc.,Other,,
Soles4Souls,NGOs and CSOs,,
Solidar,NGOs and CSOs,,
SOLIDAR INGO CONSORTIUM ,NGOs and CSOs,,
Solidaridad Internacional,NGOs and CSOs,,
Solidaridad InterNational,NGOs and CSOs,,
Solidarität Dritte Welt,NGOs and CSOs,,
Solidarität mit Lateinamerika,NGOs and CSOs,,
Solidarité Féminine pour la Paix et le Développement Intégral,NGOs and CSOs,,
Solidarité laique,Other,,
Solidarite Protestante,NGOs and CSOs,,
Solidarité Socialiste,NGOs and CSOs,,
Solidarité Syndicale - Luxembourg,NGOs and CSOs,,
"Solidarité, Urgence, Developpement",NGOs and CSOs,,
Solidarités,NGOs and CSOs,,
Solidarités InterNational,NGOs and CSOs,,
Solidarites-Belgium,NGOs and CSOs,,
Solidarites-France,NGOs and CSOs,,
Solidarity Group of Jubbaland,NGOs and CSOs,,
Solidarity Organization for Rehabilitation of Afghanistan,Public sector,,
Solidarmed,NGOs and CSOs,,
Solomon Islands Red Cross,Red Cross,,
Sølvberget,Other,,
Somaction,NGOs and CSOs,,
Somali Aid Foundations,NGOs and CSOs,,
Somali Community Concern,NGOs and CSOs,,
Somali Community Development Foundation,NGOs and CSOs,,
Somali Community Literacy Center,NGOs and CSOs,,
Somali Development & Rehabilitation Organisation,NGOs and CSOs,,
Somali Development and Rehabilitation Organisation,NGOs and CSOs,,
Somali Education and Health Organisation,NGOs and CSOs,,
Somali Humanitarian Aid and Development Organization,NGOs and CSOs,,
Somali Organic Agriculture Development Organization,Other,,
Somali Red Crescent Society,Red Cross,,
Somali Relief and Development Action,NGOs and CSOs,,
Somali Relief and Development Society,NGOs and CSOs,,
Somali Transformation Group,NGOs and CSOs,,
Somali Young Doctors Association,Other,,
Somali Youth for Peace and Development,NGOs and CSOs,,
Somalia Relive Centre,Other,,
SomaliAid,NGOs and CSOs,,
Somaliland community development Organization,NGOs and CSOs,,
Somalischer Verein e.V.,Other,,
Sony,Other,,
Sony Online Entertainment,Other,,
Soroptimist InterNational,Other,,
Soros Foundation Open Society Institute,NGOs and CSOs,,
Soroti Catholic Diocese Integrated Development Organisation,NGOs and CSOs,,
SOS Children's Villages,NGOs and CSOs,,
SOS Faim,NGOs and CSOs,,
SOS Futures Maman,NGOs and CSOs,,
SOS InterNational,NGOs and CSOs,,
SOS Kinderdorf,NGOs and CSOs,,
SOS Kinderdorpen,NGOs and CSOs,,
SOS Malta,NGOs and CSOs,,
SOS Sahel InterNational,NGOs and CSOs,,
"SOS Villages d""enfants",NGOs and CSOs,,
SOS Villages d'Enfants,NGOs and CSOs,,
SOS-barnbyar Sweden,NGOs and CSOs,,
Soul for Development,NGOs and CSOs,,
Soul of Haiti,NGOs and CSOs,,
South Africa,Public sector,,
South African Red Cross,Red Cross,,
South African Red Cross Society,Red Cross,,
South American Football Confederation (CONMEBOL),Other,,
South Pacific Applied Geoscience Commission,Multilateral,,
South Sudan Development Agency,NGOs and CSOs,,
South Sudan Law Society ,Other,,
