Recipient Organization,recipientcodename,
Parliamentarians for Global Action,NGOs,
Parliamentary Forum,other,
Paroecia Latina S.Catharinae,other,
Parroquia Jesus Redentor,private individual organisations,
Partage,NGOs,
Parthenon Trust,NGOs,
Participatory Educational Awareness and Community Empowerment,other,
Participatory Integrated Development Society,NGOs,
Participatory Rural Development Society,NGOs,
Partner Aid InterNational,NGOs,
Partner Aid International e.V.,NGOs,
PARTNERS,other,
Partners in Health,NGOs,
Partners in Rural Development,NGOs,
Partnership Africa Canada,NGOs,
Partnership Center for Development and Democracy,NGOs,
Partnership for Pastoralists Development Association,private individual organisations,
Partnership for Peace,Other multi,
Pastoral Social,private sector corporations,
Pastoralist Concern Association Ethiopia,NGOs,
Pastoralist Consultants InterNational,private individual organisations,
Pastoralist Development Organization,private individual organisations,
Pastoralist Integrated Support Programme,NGOs,
Pathfinder InterNational,NGOs,
Patient Friendly Society,other,
Patient's Help Fund,NGOs,
Pattan Development Organization,NGOs,
Patton Boggs LLP ,private sector corporations,
Paul Hastings,private sector corporations,
Pax Christi e.V,NGOs,
PCPM - Polish Center for InterNational Aid,academia/think/research,
PCPM - Polish Center for InterNational Aid ,NGOs,
Peace Action Society Organisation for Somalia,NGOs,
Peace and Conflict Institution,academia/think/research,
Peace and Development Organization,NGOs,
Peace Brigades InterNational,NGOs,
Peace Building Fund,UN Multi,
Peace Corps,DAC governments,
Peace Corps Organization,DAC government,
Peace Keeping Funds,UN Multi,
Peace Winds,NGOs,
Peace Winds Japan,NGOs,
Peacekeeping Forces,UN Multi,
PEGASE,EC,
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,other,
Pema Medical Charity,private individual organisations,
PEN InterNational,private individual organisations,
Pentair,private sector corporations,
Pentecostal Churches of Uganda,private individual organisations,
Pentecostal Foreign Mission,NGOs,
People in Aid,NGOs,
People in Need ,NGOs,
People in Peril,NGOs,
Peoples Democracy Platform,private individual organisations,
Peoples Empowerment and Consulting Enterprise,NGOs,
Peoples' Organization for Development and Rehabilitation,NGOs,
PepsiCo Foundation,foundations,
Père Jaar,other,
Periodic Review  - TCG ,private individual organisations,
Perkumpulan Paluma Nusantara,other,
Perry Ellis InterNational,private sector corporations,
Perspectives pour la Santé et le Développement,other,
Peru,National government,
Peru Rail,private sector corporations,
Peru Red Cross,red cross,
Peruvian Private Enterprise Colchones Paraiso,private sector corporations,
Peruvian Red Cross,red cross,
Petits Frères et Soeurs,private individual organisations,
Petroleos de Venezuela,private sector corporations,
Pew Charitable Trusts ,other,
Pfizer,private sector corporations,
Pharmaciens et Aide humanitaire,private individual organisations,
Pharmaciens Sans Frontieres - Comite InterNational,NGOs,
Pharmaciens sans Frontières (France),NGOs,
Pharmaciens sans frontières (PSF),NGOs,
Philadelphia Insurance Companies,private sector corporations,
Philani Maswati Organization,private individual organisations,
Philippine Business for Social Progress,private individual organisations,
Philippine Red Cross ,red cross,
Philippines,National government,
Philippines National Red Cross ,red cross,
PHRO - Palestinian Human Rights Organisation ,NGOs,
Physicians Across Continents,NGOs,
Physicians for Human Rights,NGOs,
PIAL,other,
PIDAD,other,
Pietrantoni Mendez & Alvarez LLP,private sector corporations,
PIPA,other,
Pirelli & C. Societa per Azioni,private sector corporations,
Plan Benin,NGOs,
Plan Canada,NGOs,
Plan Haiti,NGOs,
Plan Indonesia ,NGOs,
Plan InterNational,NGOs,
Plan Ireland,NGOs,
Plan Mali,NGOs,
Plan Niger,NGOs,
Plan Norge,NGOs,
Plan Sudan,NGOs,
Plan Sweden,NGOs,
Plan Timor-Leste,NGOs,
Plan UK,NGOs,
Plan USA,NGOs,
PLANAT,DAC governments,
Planeta,NGOs,
Planete Urgence,NGOs,
"Planned Parenthood Federation, InterNational",private individual organisations,
Planning and Development Collaborative InterNational,private individual organisations,
"Plateforme d""insertion par l""humanitaire",other,
PLO DoRA,other,
PMU-Interlife,NGOs,
Point of Peace,foundations,
PokerStars,private sector corporations,
Poland,DAC governments,
Poland Red Cross,red cross,
Polish Center for International Aid,NGOs,
Polish Humanitarian Action,NGOs,
Polish Humanitarian Organisation,NGOs,
Polish Red Cross,red cross,
Politidirektoratet,other,
Pompiers sans frontières,NGOs,
"Population Leadership Program, the University of Washington",academia/think/research,
Population Services InterNational,NGOs,
Portugal,DAC governments,
Portugal Red Cross,red cross,
Portuguese Institute for Cooperation,DAC governments,
Portuguese Red Cross,red cross,
Posko Atambua,other,
PotashCorp,private sector corporations,
Potsdam Kommunikation,NGOs,
Pour une Syrie libre,NGOs,
Practical Action ( formerly Intermediate Technology Development Group),NGOs,
Practical Action (formerly Intermediate Technology Development Group),NGOs,
PRADET,NGOs,
Praktisk Solidarites,NGOs,
PRB,private individual organisations,
Prefecto of the Department of La Paz,National government,
Prem Rawat Foundation,foundations,
Premiere Urgence,NGOs,
Première Urgence - Aide Médicale InterNationale,NGOs,
PREPARED,other,
Presbyterian Church in Ireland,NGOs,
Presbyterian Church of Korea,private individual organisations,
Presbyterian Disaster Assistance,private individual organisations,
Press Emblem Campaign,private individual organisations,
Press Trust / IDI,other,
PriceWaterhouseCoopers,private sector corporations,
PRIMA SYNERGIE,other,
Primate's World Relief and Development Fund,NGOs,
Prime Minister's National Relief Fund/India,National government,
Princess Cruises,private sector corporations,
"Principal Financial Group Foundation, Inc",private sector corporations,
"PRIO - InterNational Peace Research Institute, Oslo",academia/think/research,
Private (individuals & organisations),private individual organisations,
Private Agencies Collaborating Together,NGOs,
Private Agencies Collaborating Together ,NGOs,
Private Voluntary Organizations,other,
"Pro Pac, Inc.",private sector corporations,
Procter & Gamble Inc.,private sector corporations,
Progedes-Nicaragua,other,
Programme Against Malnutrition,NGOs,
Programme de Promotion de Soins de Santé Primaires (PPSSP),other,
Programme d'Intégration et de Développement du Peuple pygmée au Kiwu ,other,
Programme for Emergency Education and Reconstruction ,other,
Progressio,NGOs,
Progressive Interventions,other,
Project Aparajita - VHAI,NGOs,
Project Concern InterNational,NGOs,
Project HOPE,NGOs,
PROMAN,private sector corporations,
PROMARK,private sector corporations,
Promoting Recovery in Zimbabwe,DAC governments,
Protos,NGOs,
Protracted Relief Programme Partners (Zimbabwe),NGOs,
Provea - Venezolano de Educación-Acción en Derechos Humanos,NGOs,
ProVention,private individual organisations,
Proximity Designs (formerly International Development Enterprises),private sector corporations,
"Prudential Financial, Inc.",private sector corporations,
PSF-France/Clermont-Ferrand,other,
PSO,other,
PSR / IPPNW,private individual organisations,
Psykisk Helsevern Østfold HF v/ Norum,other,
PTM - Paz y Tercer Mundo,NGOs,
PTT Public Company Limited,private sector corporations,
Public Accounts Committee,private individual organisations,
Public Affairs Committee,private individual organisations,
Public Welfare Foundation,foundations,
Publix,private sector corporations,
Puerto Rico,National government,
PUMP AID,NGOs,
PUNTO SUD,academia/think/research,
Purpose Foundation,foundations,
Pyoe Pin,other,
Qandil,NGOs,
Qatar,National government,
Qatar Charitable Society,NGOs,
Qatar Charity,NGOs,
Qatar Red Crescent,red cross,
Qatar Red Crescent Society,red cross,
"QED Limited, LLC",private sector corporations,
Quaker United Nations Office,NGOs,
Qualcomm Inc.,private sector corporations,
Questscope,NGOs,
"QVC, Inc.",private sector corporations,
Qwest Foundation ,foundations,
"Raad, Liv",other,
Rabbis for Human Rights,private individual organisations,
Radanar Ayar Association,NGOs,
Radio SAWA,private sector corporations,
Radisson SAS,private sector corporations,
Raf-Thani Foundation,foundations,
"Raftostiftelsen, prosjekt",other,
Raggio di Luce ,other,
Rahma Islamic Relief Fund,NGOs,
Rahmo Rehabilitation Organisation,NGOs,
Rainbow Gateway,other,
Rainwater Association of Somalia,other,
RAK Ceramics,private sector corporations,
Random House,private sector corporations,
Rape Crisis Centre,NGOs,
Raqeep Organization for Human Rights,NGOs,
Rasawad Welfare Association,private individual organisations,
Rawa Association,NGOs,
Raygroup SAS,private sector corporations,
Raytheon,private sector corporations,
RBC,private sector corporations,
RCN Justice Democratie,NGOs,
RCO,other,
RCT,other,
RDN,private sector corporations,
REA - Réhabilitation  Education Aide social,NGOs,
Reach Out,NGOs,
Reach Out Initiative,NGOs,
Reach Out To Asia,NGOs,
Rebatisseurs de la muraille des oeuvres de Dieu,NGOs,
RECSASEC - Regional Centre on Small Arms and Light Weapons,private individual organisations,
Red Crescent Society of Azerbaijan,red cross,
Red Crescent Society of Djibouti,red cross,
Red Crescent Society of Kyrgyzstan,red cross,
Red Crescent Society of Tajikistan,red cross,
Red Crescent Society of the Islamic Republic of Iran,red cross,
Red Crescent Society of the United Arab Emirates,red cross,
Red Crescent Society of Uzbekistan,red cross,
Red Cross,red cross,
Red Cross of Cape Verde,red cross,
Red Cross of Chad,red cross,
Red Cross of Monaco,red cross,
Red Cross of Montenegro,red cross,
Red Cross of Serbia,red cross,
Red Cross of the Democratic Republic of the Congo,red cross,
"Red Cross of The Former Yugoslav Republic of Macedonia, The",red cross,
Red Cross of Viet Nam,red cross,
Red Cross Society of Bosnia and Herzegovina,red cross,
Red Cross Society of China,red cross,
Red Cross Society of Georgia,red cross,
Red Cross Society of Niger,red cross,
Red Cross Society of Panama,red cross,
Red Cross Society of the Democratic People's Republic of Korea,red cross,
Red Cross Society of the Republic of Moldova,red cross,
Red R,NGOs,
REDOG,other,
RedR,NGOs,
RedR UK,red cross,
Refugee Education Trust,NGOs,
Refugee Studies Centre,academia/think/research,
Refugee Trust,NGOs,
Refugees InterNational,NGOs,
Regence Foundation,foundations,
Regional Centre Small Arms Light Weapons,private individual organisations,
Regional Govt of Lambayeque (Peru),National government,
Regnskogfondet,foundations,
Rehabilitation and Research Centre for Torture Victims,NGOs,
Rehabilitation InterNational,NGOs,
Relationships Foundation InterNational,foundations,
Relief and Recovery Unit - Zimbabwe,UN Multi,
Relief InterNational,NGOs,
Religiosas de Jesus-Maria,private individual organisations,
Religiosas Franciscanas Mision,private individual organisations,
Religiosas Hermanas Terciarias,private individual organisations,
Remedial English and Science Course Centre,academia/think/research,
Reporters Sans Frontières,NGOs,
Reprise de Justesse,NGOs,
Republic of Korea National Red Cross,red cross,
Republic of South Sudan,National government,
Rescue South Africa,NGOs,
Research Council of Norway,academia/think/research,
Reseau des Entrepreneurs Solidaires,NGOs,
Resident Coordinators Support Office,UN Multi,
Response InterNational,NGOs,
Responsive,other,
REST - Relief Society of Tigray,NGOs,
RESTART,private sector corporations,
Results Japan,other,
Reunion,other,
Reynolds American Foundation,foundations,
RHA,private sector corporations,
Richard and Susan Smith Family Foundation,foundations,
Right to Live Society,NGOs,
Right to Play,NGOs,
Ripley,private sector corporations,
Risk and Insurance Management Society,private individual organisations,
Rissho Koseikai,private individual organisations,
Rite Aid,private sector corporations,
Riverine Relief Program,private individual organisations,
Riverside Technologies Inc.,private sector corporations,
RKV - Flemish Red Cross,red cross,
RMS Foundation,private sector corporations,
Rockefeller Foundation,foundations,
Rockwell Collins,private sector corporations,
Roddick Foundation,foundations,
ROFI Industrier AS,private sector corporations,
Rogers Communications,private sector corporations,
ROKPA,NGOs,
ROLEX,private sector corporations,
Romania,National government,
Romania Red Cross,red cross,
Romanian Red Cross,red cross,
Ronald McDonald House Charities,NGOs,
RONCO Consulting Corporation,private sector corporations,
Root of Grass,other,
ROPKA InterNational,NGOs,
Rosalia Hoog,other,
Roshni Development Organization,NGOs,
"Ross Stores, Inc.",private sector corporations,
ROSSAIR,private sector corporations,
Rotary Club of Shanghai,NGOs,
Rotary Fiji,private individual organisations,
Rotary InterNational,NGOs,
Rothschild Estates,private sector corporations,
Roy A. Hunt Foundation,foundations,
Royal Bank of Canada,private sector corporations,
Royal Caribbean InterNational,private sector corporations,
Royal Danish Embassy - Jakarta,DAC governments,
Royal Danish Representative Office in Colombo,DAC governments,
Royal Health Awareness Society,NGOs,
RTI,other,
Ruedi Leuppi Stiftung Elfenbeinküste,foundations,
Rufaid Health Foundation,foundations,
Rufaida Health Foundation,foundations,
Rumänienhilfe Liebenau,NGOs,
Rumänienhilfe Schärding,NGOs,
Rural Agency for Community Development and Assistance,NGOs,
Rural Capacities Development Committee,other,
Rural Centre for Sustainable Development,other,
Rural Development Foundation,foundations,
Rural Development Initiative,private individual organisations,
