Donor,privatemoney,code,check,private?
PokerStars,private,#N/A,,
Poland,no,#N/A,,
Poland Red Cross,no,#N/A,,
Polish Center for International Aid,no,#N/A,,
Polish Humanitarian Action,no,#N/A,,
Polish Humanitarian Organisation,no,#N/A,,
Polish Red Cross,no,#N/A,,
Politidirektoratet,no,#N/A,,
Pompiers sans frontières,no,#N/A,,
"Population Leadership Program, the University of Washington",no,#N/A,,
Population Services InterNational,no,#N/A,,
Portugal,no,#N/A,,
Portugal Red Cross,no,#N/A,,
Portuguese Institute for Cooperation,no,#N/A,,
Portuguese Red Cross,no,#N/A,,
Posko Atambua,no,#N/A,,
PotashCorp,private,#N/A,,
Potsdam Kommunikation,no,#N/A,,
Pour une Syrie libre,no,#N/A,,
Practical Action ( formerly Intermediate Technology Development Group),no,#N/A,,
Practical Action (formerly Intermediate Technology Development Group),no,#N/A,,
PRADET,no,#N/A,,
Praktisk Solidarites,no,#N/A,,
PRB,private,#N/A,,
Prefecto of the Department of La Paz,no,#N/A,,
Prem Rawat Foundation,private,#N/A,,
Premiere Urgence,no,#N/A,,
Première Urgence - Aide Médicale InterNationale,no,#N/A,,
PREPARED,no,#N/A,,
Presbyterian Church in Ireland,no,#N/A,,
Presbyterian Church of Korea,private,#N/A,,
Presbyterian Disaster Assistance,private,#N/A,,
Press Emblem Campaign,private,#N/A,,
Press Trust / IDI,no,#N/A,,
PriceWaterhouseCoopers,private,#N/A,,
PRIMA SYNERGIE,no,#N/A,,
Primate's World Relief and Development Fund,no,#N/A,,
Prime Minister's National Relief Fund/India,no,#N/A,,
Princess Cruises,private,#N/A,,
"Principal Financial Group Foundation, Inc",private,#N/A,,
"PRIO - InterNational Peace Research Institute, Oslo",no,#N/A,,
Private (individuals & organisations),private,#N/A,,
Private Agencies Collaborating Together,no,#N/A,,
Private Agencies Collaborating Together ,no,#N/A,,
Private Voluntary Organizations,no,#N/A,,
"Pro Pac, Inc.",private,#N/A,,
Procter & Gamble Inc.,private,#N/A,,
Progedes-Nicaragua,no,#N/A,,
Programme Against Malnutrition,no,#N/A,,
Programme de Promotion de Soins de Santé Primaires (PPSSP),no,Programme de Promotion de Soins de Santé Primaires (PPSSP),other,
Programme d'Intégration et de Développement du Peuple pygmée au Kiwu ,no,#N/A,,
Programme for Emergency Education and Reconstruction ,no,#N/A,,
Progressio,no,#N/A,,
Progressive Interventions,no,#N/A,,
Project Aparajita - VHAI,no,#N/A,,
Project Concern InterNational,no,#N/A,,
Project HOPE,no,#N/A,,
PROMAN,private,#N/A,,
PROMARK,private,#N/A,,
Promoting Recovery in Zimbabwe,no,#N/A,,
Protos,no,#N/A,,
Protracted Relief Programme Partners (Zimbabwe),no,#N/A,,
Provea - Venezolano de Educación-Acción en Derechos Humanos,no,#N/A,,
ProVention,private,#N/A,,
Proximity Designs (formerly International Development Enterprises),private,#N/A,,
"Prudential Financial, Inc.",private,#N/A,,
PSF-France/Clermont-Ferrand,no,#N/A,,
PSO,no,#N/A,,
PSR / IPPNW,private,#N/A,,
Psykisk Helsevern Østfold HF v/ Norum,no,#N/A,,
PTM - Paz y Tercer Mundo,no,#N/A,,
PTT Public Company Limited,private,#N/A,,
Public Accounts Committee,private,#N/A,,
Public Affairs Committee,private,#N/A,,
Public Welfare Foundation,private,#N/A,,
Publix,private,#N/A,,
Puerto Rico,no,#N/A,,
PUMP AID,no,#N/A,,
PUNTO SUD,no,#N/A,,
Purpose Foundation,private,#N/A,,
Pyoe Pin,no,#N/A,,
Qandil,no,#N/A,,
Qatar,no,#N/A,,
Qatar Charitable Society,no,#N/A,,
Qatar Charity,no,#N/A,,
Qatar Red Crescent,no,#N/A,,
Qatar Red Crescent Society,no,#N/A,,
"QED Limited, LLC",private,#N/A,,
Quaker United Nations Office,no,#N/A,,
Qualcomm Inc.,private,#N/A,,
Questscope,no,#N/A,,
"QVC, Inc.",private,#N/A,,
Qwest Foundation ,private,#N/A,,
"Raad, Liv",no,#N/A,,
Rabbis for Human Rights,private,#N/A,,
Radanar Ayar Association,no,#N/A,,
Radio SAWA,private,#N/A,,
Radisson SAS,private,#N/A,,
Raf-Thani Foundation,private,#N/A,,
"Raftostiftelsen, prosjekt",no,#N/A,,
Raggio di Luce ,no,#N/A,,
Rahma Islamic Relief Fund,no,#N/A,,
Rahmo Rehabilitation Organisation,no,#N/A,,
Rainbow Gateway,no,#N/A,,
Rainwater Association of Somalia,no,#N/A,,
RAK Ceramics,private,#N/A,,
Random House,private,#N/A,,
Rape Crisis Centre,no,#N/A,,
Raqeep Organization for Human Rights,no,#N/A,,
Rasawad Welfare Association,private,#N/A,,
Rawa Association,no,#N/A,,
Raygroup SAS,private,#N/A,,
Raytheon,private,#N/A,,
RBC,private,#N/A,,
RCN Justice Democratie,no,#N/A,,
RCO,no,#N/A,,
RCT,no,#N/A,,
RDN,private,#N/A,,
REA - Réhabilitation  Education Aide social,no,#N/A,,
Reach Out,no,#N/A,,
Reach Out Initiative,no,#N/A,,
Reach Out To Asia,no,#N/A,,
Rebatisseurs de la muraille des oeuvres de Dieu,no,#N/A,,
RECSASEC - Regional Centre on Small Arms and Light Weapons,private,#N/A,,
Red Crescent Society of Azerbaijan,no,#N/A,,
Red Crescent Society of Djibouti,no,#N/A,,
Red Crescent Society of Kyrgyzstan,no,#N/A,,
Red Crescent Society of Tajikistan,no,#N/A,,
Red Crescent Society of the Islamic Republic of Iran,no,#N/A,,
Red Crescent Society of the United Arab Emirates,no,#N/A,,
Red Crescent Society of Uzbekistan,no,#N/A,,
Red Cross,no,#N/A,,
Red Cross of Cape Verde,no,#N/A,,
Red Cross of Chad,no,#N/A,,
Red Cross of Monaco,no,#N/A,,
Red Cross of Montenegro,no,#N/A,,
Red Cross of Serbia,no,#N/A,,
Red Cross of Serbia,no,#N/A,,
Red Cross of the Democratic Republic of the Congo,no,#N/A,,
"Red Cross of The Former Yugoslav Republic of Macedonia, The",no,#N/A,,
"Red Cross of The Former Yugoslav Republic of Macedonia, The",no,#N/A,,
Red Cross of Viet Nam,no,#N/A,,
Red Cross Society of Bosnia and Herzegovina,no,#N/A,,
Red Cross Society of China,no,#N/A,,
Red Cross Society of Georgia,no,#N/A,,
Red Cross Society of Niger,no,#N/A,,
Red Cross Society of Panama,no,#N/A,,
Red Cross Society of the Democratic People's Republic of Korea,no,#N/A,,
Red Cross Society of the Republic of Moldova,no,#N/A,,
Red R,no,#N/A,,
REDOG,no,#N/A,,
RedR,no,#N/A,,
RedR UK,no,#N/A,,
Refugee Education Trust,no,#N/A,,
Refugee Studies Centre,no,#N/A,,
Refugee Trust,no,#N/A,,
Refugees InterNational,no,#N/A,,
Regence Foundation,private,#N/A,,
Regional Centre Small Arms Light Weapons,private,#N/A,,
Regional Govt of Lambayeque (Peru),no,#N/A,,
Regnskogfondet,private,#N/A,,
Rehabilitation and Research Centre for Torture Victims,no,#N/A,,
Rehabilitation InterNational,no,#N/A,,
Relationships Foundation InterNational,private,#N/A,,
Relief and Recovery Unit - Zimbabwe,no,#N/A,,
Relief InterNational,no,#N/A,,
Religiosas de Jesus-Maria,private,#N/A,,
Religiosas Franciscanas Mision,private,#N/A,,
Religiosas Hermanas Terciarias,private,#N/A,,
Remedial English and Science Course Centre,no,#N/A,,
Reporters Sans Frontières,no,#N/A,,
Reprise de Justesse,no,#N/A,,
Republic of Korea National Red Cross,no,#N/A,,
Republic of South Sudan,no,#N/A,,
Rescue South Africa,no,#N/A,,
Research Council of Norway,no,#N/A,,
Reseau des Entrepreneurs Solidaires,no,Reseau des Entrepreneurs Solidaires,NGOs,
Resident Coordinators Support Office,no,#N/A,,
Response InterNational,no,#N/A,,
Responsive,no,#N/A,,
REST - Relief Society of Tigray,no,#N/A,,
RESTART,private,#N/A,,
Results Japan,no,#N/A,,
Reunion,no,#N/A,,
Reynolds American Foundation,private,#N/A,,
RHA,private,#N/A,,
Richard and Susan Smith Family Foundation,private,#N/A,,
Right to Live Society,no,#N/A,,
Right to Play,no,#N/A,,
Ripley,private,#N/A,,
Risk and Insurance Management Society,private,#N/A,,
Rissho Koseikai,private,#N/A,,
Rite Aid,private,#N/A,,
Riverine Relief Program,private,#N/A,,
Riverside Technologies Inc.,private,#N/A,,
RKV - Flemish Red Cross,no,#N/A,,
RMS Foundation,private,#N/A,,
Rockefeller Foundation,private,#N/A,,
Rockwell Collins,private,#N/A,,
Roddick Foundation,private,#N/A,,
ROFI Industrier AS,private,#N/A,,
Rogers Communications,private,#N/A,,
ROKPA,no,#N/A,,
ROLEX,private,#N/A,,
Romania,no,#N/A,,
Romania Red Cross,no,#N/A,,
Romanian Red Cross,no,#N/A,,
Ronald McDonald House Charities,no,#N/A,,
RONCO Consulting Corporation,private,#N/A,,
Root of Grass,no,#N/A,,
ROPKA InterNational,no,#N/A,,
Rosalia Hoog,no,#N/A,,
Roshni Development Organization,no,#N/A,,
"Ross Stores, Inc.",private,#N/A,,
ROSSAIR,private,#N/A,,
Rotary Club of Shanghai,no,#N/A,,
Rotary Fiji,private,#N/A,,
Rotary InterNational,no,#N/A,,
Rothschild Estates,private,#N/A,,
Roy A. Hunt Foundation,private,#N/A,,
Royal Bank of Canada,private,#N/A,,
Royal Caribbean InterNational,private,#N/A,,
Royal Danish Embassy - Jakarta,no,#N/A,,
Royal Danish Representative Office in Colombo,no,#N/A,,
Royal Health Awareness Society,no,#N/A,,
RTI,no,#N/A,,
Ruedi Leuppi Stiftung Elfenbeinküste,private,#N/A,,
Rufaid Health Foundation,private,#N/A,,
Rufaida Health Foundation,private,#N/A,,
Rumänienhilfe Liebenau,no,#N/A,,
Rumänienhilfe Schärding,no,#N/A,,
Rural Agency for Community Development and Assistance,no,#N/A,,
Rural Capacities Development Committee,no,#N/A,,
Rural Centre for Sustainable Development,no,#N/A,,
Rural Development Foundation,private,#N/A,,
Rural Development Initiative,private,#N/A,,
Rural Development Project,private,#N/A,,
Rural Empowerment and Institutional Development,no,#N/A,,
Rural Focus,no,#N/A,,
Rural Reconstruction Nepal,no,#N/A,,
Rural Support Programmes Network,no,#N/A,,
Rural Water and Sanitation Support Agency,no,#N/A,,
Russia Red Cross,no,#N/A,,
Russian Federation,no,#N/A,,
Russian Red Cross Society,no,#N/A,,
Rwanda,no,#N/A,,
Rwanda Red Cross ,no,#N/A,,
Rwandan Red Cross ,no,#N/A,,
RWSSP,private,#N/A,,
SAACID,no,#N/A,,
Sabou Guinee,no,#N/A,,
Sad Africa,no,#N/A,,
Sada Al Irak Organisation,no,#N/A,,
SADRI,no,#N/A,,
SAF - Science and Arts Foundation,private,#N/A,,
Safa Marwa Relief and Development Organization,no,#N/A,,
SaferAfrica,no,#N/A,,
Saferworld,no,#N/A,,
Safeway Inc,private,#N/A,,
SAFRA Edmond J. Philanthropic Foundation,private,#N/A,,
Saga Falabella,private,#N/A,,
Sage Organisation,no,#N/A,,
Sagric InteNational Pty Ltd,private,#N/A,,
SAH - Schweizerisches Arbeiterhilfswerk,no,#N/A,,
Sahkar Dost Welfare Association,no,#N/A,,
SAIH - Studentenes og Akademikernes Internasjonale Hjelpefond,private,#N/A,,
Saint Barbara Foundation,private,#N/A,,
Saint Lucia,no,#N/A,,
Saint Vincent and the Grenadines,no,#N/A,,
SALAM YA SUGHAR FUND,no,#N/A,,
Salama Medical Agency,private,#N/A,,
Salesian Missions,private,#N/A,,
Salvadorean Red Cross Society,no,#N/A,,
Salvation Army,no,#N/A,,
SAM - Schweizer Allianz Mission,no,#N/A,,
SAM - Schweizer Allianz Mission ,no,#N/A,,
Sama Al-Yemen Development Foundation,no,#N/A,,
Samaritan's Purse,no,#N/A,,
Samenwerkende Hulporganisaties,private,#N/A,,
Samerådet,no,#N/A,,
Sametinget,no,#N/A,,
Samir Kassir Foundation,private,#N/A,,
Samis,no,#N/A,,
Samisk Høgskole,no,#N/A,,
Samoa,no,#N/A,,
Samoa Red Cross,no,#N/A,,
Samoa Red Cross Society,no,#N/A,,
Samsung Group,private,#N/A,,
Samusocial Peru,no,#N/A,,
San Diego Foundation,private,#N/A,,
San Marino,no,#N/A,,
San Remo Institute for Humanitarian Law,no,#N/A,,
SANAD Charity Foundation,no,#N/A,,
SANAR YURDATAPAN  - FEA,no,#N/A,,
Sangtani Women Rural Development Organization,no,#N/A,,
Sanitary of Epidemiological Station,no,#N/A,,
SANOFI,private,#N/A,,
Santa Isabel Market,private,#N/A,,
Santé Diabète,no,#N/A,,
Santé Mali Rhône Alpes,no,#N/A,,
Santé pour le Développement et la Stabilité d’Haïti,no,#N/A,,
Sante Sud,no,#N/A,,
Sant''Egidio,no,#N/A,,
Sarhad Rural Support Programme,no,#N/A,,
Sarvodaya Shramadana Movement,no,#N/A,,
Sath Development Organization,no,#N/A,,
Satunama,no,#N/A,,
Saude em Portugues,no,#N/A,,
Saúde em Português,no,#N/A,,
Saudi Arabia (Kingdom of),no,#N/A,,
Saudi Arabian Red Crescent Society,no,#N/A,,
Saudi Committee,no,#N/A,,
Saudi Public Campaign for Lebanon and Palestine,no,#N/A,,
Saudi Red Crescent ,no,#N/A,,
Save and Serve,no,#N/A,,
Save Somali Women & Children,no,#N/A,,
Save the Children ,no,#N/A,,
Save the Children - Canada,no,#N/A,,
Save the Children - Denmark,no,#N/A,,
Save the Children - France,no,#N/A,,
Save the Children - Japan,no,#N/A,,
Save the Children - Netherlands,no,#N/A,,
Save the Children - Norway,no,#N/A,,
Save the Children - Sri Lanka,no,#N/A,,
Save the Children - Sweden,no,#N/A,,
Save the Children - Uganda,no,#N/A,,
Save the Children - United Kingdom,no,#N/A,,
Save the Children - USA,no,#N/A,,
Save the Children Alliance,no,#N/A,,
Save the Children Federaton Inc.,no,#N/A,,
"Save the Children, Youths and Women Organization",no,#N/A,,
Sawaid Health Organization,no,#N/A,,
SC - Caritas,no,#N/A,,
SC/US and World Vision,no,#N/A,,
SCA Tissue,private,#N/A,,
Scanagri,private,#N/A,,
Scandinavian Children's Mission ,no,#N/A,,
SCD-RB,no,#N/A,,
Schering-Plough Corporation,private,#N/A,,
Schools Association for Formal Education,no,#N/A,,
Schulte Roth & Zabel LLP,private,#N/A,,
SCO,no,#N/A,,
SCOR Group,private,#N/A,,
Scotiabank,private,#N/A,,
Scottish Catholic InterNational Aid Fund,no,#N/A,,
Scottish Executive,no,#N/A,,
Scottrade,private,#N/A,,
SDW,no,#N/A,,
Search for Common Ground,no,#N/A,,
Seattle Foundation,private,#N/A,,
Second Harvest Japan,private,#N/A,,
SECONRED,no,#N/A,,
Secours Catholique et Développement,no,#N/A,,
Secours Islamique,no,#N/A,,
Secours Islamique France,no,#N/A,,
Secours Populaire Francais,no,#N/A,,
Sécurité civile,no,#N/A,,
Sedec-Hudec,no,#N/A,,
Seeds of Peace,no,#N/A,,
Seestern e.V.,no,#N/A,,
Seestern e.V.,no,#N/A,,
"Seismic Research Unit, Univ. of West Indies",no,#N/A,,
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region,no,#N/A,,
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region ,no,#N/A,,
Self Employment Womens' Association,no,#N/A,,
Sempra Energy Foundation,private,#N/A,,
Senegal,no,#N/A,,
Senter for Krisepsykologi,no,#N/A,,
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",no,#N/A,,
Sentinelles,no,#N/A,,
Seobu Annual Conference of the KMC,no,#N/A,,
Serbia ,no,#N/A,,
Serbia and Montenegro,no,#N/A,,
Serbia and Montenegro Red Cross,no,#N/A,,
Serve Pastoralist International,no,#N/A,,
Service Health Relief Development Organization,private,#N/A,,
SERVICE INT. POUR LES DROITS DE L HOMME,no,#N/A,,
SERVICE plus GMBH,private,#N/A,,
Service Social InterNational  ,no,#N/A,,
SERVICIO PAZ Y JUSTICIA,no,#N/A,,
SES World Skies,private,#N/A,,
SE-SINAPRED,no,#N/A,,
Sewa Development Trust Sindh,no,#N/A,,
Sewa Lanka Foundation,private,#N/A,,
Sewalanka,no,#N/A,,
Seychelles,no,#N/A,,
Seychelles Red Cross,no,#N/A,,
Seychelles Red Cross Society,no,#N/A,,
Seylan Bank Limited,private,#N/A,,
Sezam,no,#N/A,,
SFCG/RDC,no,#N/A,,
SHA/National Autonomous University of Nicaragua,no,#N/A,,
SHA/NRE,no,#N/A,,
Shah Sachal Sami Foundation,no,#N/A,,
Shahrukhi Rehabilitation Project,no,#N/A,,
Shaik Abdallah Nouri Association,no,#N/A,,
SHAML - Palestinian Diaspora and Refugee Center ,no,#N/A,,
Shanti Volunteer Association,no,#N/A,,
Sharaja,no,#N/A,,
SHARE,no,#N/A,,
Share Association of Guatemala,no,#N/A,,
Share our Strength,private,#N/A,,
Sharek Youth Forum ,no,#N/A,,
Sharjah Charity House,private,#N/A,,
Sharukhi Rehabilitation Project,no,#N/A,,
Sharukhi Rehabilitation Project ,no,#N/A,,
Sheikh Mohammad Shami Foundation,private,#N/A,,
Sheikh Thani bin Abdullah Foundation for Humanitarian Services,private,#N/A,,
Shell Nigeria,private,#N/A,,
Shell Oil Company,private,#N/A,,
Shelter Centre,no,Shelter Centre,NGOs,
Shelter for Life,no,#N/A,,
Shelter Now InterNational ,no,#N/A,,
ShelterBox,no,#N/A,,
Sheraton Hotel,private,#N/A,,
Sherrit,private,#N/A,,
Shifa Foundation,private,#N/A,,
SHIFT,private,#N/A,,
Shilale Rehabilitation and Ecological Concern,no,#N/A,,
Shining Future Humanitarian Organization,no,#N/A,,
Shining Light Community Development Organization,no,#N/A,,
Shinnyo-en,private,#N/A,,
Shinnyo-en ,private,#N/A,,
"Shionogi & Co., Ltd",private,#N/A,,
Shionogi Pharma Inc.,private,#N/A,,
Shipman & Goodwin LLP,private,#N/A,,
Sibro,no,#N/A,,
Siemens AG,private,#N/A,,
Siemens Water Technologies,private,#N/A,,
Sierra Leone,no,#N/A,,
SIF-France,private,#N/A,,
SIG - Canton's Industrial Services - Geneve (CH),no,#N/A,,
Sign of Hope,no,#N/A,,
Silicon Valley Community Foundation,private,#N/A,,
SIM Canada,no,#N/A,,
Sindh Agriculture and Forestry Workers Cooperation Organization,private,#N/A,,
Sindh Radiant Organisation,private,#N/A,,
Singapore,no,#N/A,,
Singapore InterNational Foundation,private,#N/A,,
Singapore Red Cross,no,#N/A,,
Singapore Red Cross Society,no,#N/A,,
SIPRI,no,#N/A,,
Siriri,no,Siriri,NGOs,
Sivilombudsmannen,no,#N/A,,
"Skadden, Arps, Slate, Meagher, & Flom LPP & Affiliates",private,#N/A,,
Skanska,private,#N/A,,
Skeiv Solidaritet,no,#N/A,,
Skills Active Forward,no,#N/A,,
SKUPAJ,private,#N/A,,
SkyLink,private,#N/A,,
Slavik,no,#N/A,,
Slovak Red Cross,no,#N/A,,
Slovakia,no,#N/A,,
Slovenia,no,#N/A,,
Slovenian Red Cross,no,#N/A,,
Small Arms Survey,no,#N/A,,
SMU - Strategic Monitoring Unit (Afghanistan),no,#N/A,,
SNG,no,#N/A,,
Social and Humanitarian Assistance Organization,no,#N/A,,
Social Economical Environmental Developers ,no,#N/A,,
Social Humanitarian Economical Intervention for Local Development,no,#N/A,,
Social Impact,no,#N/A,,
Social Life and Agricultural Development Organisation,no,#N/A,,
Social Solidarity Organisation,private,#N/A,,
"Social, Humanitarian, Economical Intervention for Local Developmen",no,#N/A,,
Société Algérienne de Recherche en Psychologie,no,#N/A,,
"Société Axis, Centre orthopédique d'Assomption",no,#N/A,,
SOCIETE DE COOPERATION POUR LE DEVELOPPEMENT DE FIZI  (SOCOODEFI),no,#N/A,,
"Société Générale de Solidarité, S.A.",private,#N/A,,
Société Kolping,no,#N/A,,
Society Development Initiative Organization,private,#N/A,,
Society for Awareness and Change,no,#N/A,,
Society for Community Development,no,#N/A,,
Society for Conservation and Protection of Environment,private,#N/A,,
Society for Human and Institutional Development,no,#N/A,,
Society for Humanitarian Solidarity,no,#N/A,,
"Society for Skills, Trainings & Development",no,#N/A,,
Society for Sustainable Development,no,#N/A,,
"Society for the Advancement, Community, health, Education and Training",no,#N/A,,
Society of Physically Handicapped People,no,#N/A,,
SODI - Solidaritätsdienst-InterNational ,no,#N/A,,
Soeurs missionnaires de la charite (Mere Teresa),private,#N/A,,
SOHDO,no,#N/A,,
Soka Gakkai,no,#N/A,,
Sol Inc.,private,#N/A,,
Soles4Souls,no,#N/A,,
Solidar,no,#N/A,,
SOLIDAR INGO CONSORTIUM ,no,#N/A,,
Solidaridad Internacional,private,#N/A,,
Solidaridad InterNational,no,#N/A,,
Solidarität Dritte Welt,private,#N/A,,
Solidarität mit Lateinamerika,no,#N/A,,
Solidarité Féminine pour la Paix et le Développement Intégral,no,#N/A,,
Solidarité laique,private,#N/A,,
Solidarite Protestante,no,#N/A,,
Solidarité Socialiste,no,#N/A,,
Solidarité Syndicale - Luxembourg,no,#N/A,,
"Solidarité, Urgence, Developpement",no,#N/A,,
Solidarités,no,#N/A,,
Solidarités InterNational,no,#N/A,,
Solidarites-Belgium,no,#N/A,,
Solidarites-France,no,#N/A,,
Solidarity Group of Jubbaland,no,#N/A,,
Solidarity Organization for Rehabilitation of Afghanistan,no,#N/A,,
Solidarmed,no,#N/A,,
Solomon Islands Red Cross,no,#N/A,,
Sølvberget,no,#N/A,,
Somaction,no,#N/A,,
Somali Aid Foundations,no,#N/A,,
Somali Community Concern,no,#N/A,,
Somali Community Development Foundation,no,#N/A,,
Somali Community Literacy Center,no,#N/A,,
Somali Development & Rehabilitation Organisation,no,#N/A,,
Somali Development and Rehabilitation Organisation,no,#N/A,,
Somali Education and Health Organisation,no,#N/A,,
Somali Humanitarian Aid and Development Organization,no,#N/A,,
Somali Organic Agriculture Development Organization,no,#N/A,,
Somali Red Crescent Society,no,#N/A,,
Somali Relief and Development Action,no,#N/A,,
Somali Relief and Development Society,no,#N/A,,
Somali Transformation Group,no,#N/A,,
Somali Young Doctors Association,private,#N/A,,
Somali Youth for Peace and Development,no,#N/A,,
Somalia Relive Centre,no,#N/A,,
SomaliAid,no,#N/A,,
Somaliland community development Organization,no,#N/A,,
Somalischer Verein e.V.,no,#N/A,,
Sony,private,#N/A,,
Sony Online Entertainment,private,#N/A,,
Soroptimist InterNational,private,#N/A,,
Soros Foundation Open Society Institute,private,#N/A,,
Soroti Catholic Diocese Integrated Development Organisation,no,#N/A,,
SOS Children's Villages,no,#N/A,,
SOS Faim,no,#N/A,,
SOS Futures Maman,no,#N/A,,
SOS InterNational,no,#N/A,,
SOS Kinderdorf,no,#N/A,,
SOS Kinderdorpen,no,#N/A,,
