indicator,year,region,n,value
Sanitation.Open defecation,2015,South-Eastern Asia,11,8
Agriculture,1990,South-Eastern Asia,7,8
Education,1990,South-Eastern Asia,7,13
Health,1990,South-Eastern Asia,7,4
Social protection,1990,South-Eastern Asia,6,5
Agriculture,2000,South-Eastern Asia,7,6
Education,2000,South-Eastern Asia,7,13
Health,2000,South-Eastern Asia,7,3
Social protection,2000,South-Eastern Asia,7,7
Agriculture,2010,South-Eastern Asia,6,5
Education,2010,South-Eastern Asia,0,
Health,2010,South-Eastern Asia,0,
Social protection,2010,South-Eastern Asia,0,
Agriculture,2012,South-Eastern Asia,0,
Education,2012,South-Eastern Asia,0,
Health,2012,South-Eastern Asia,0,
Social protection,2012,South-Eastern Asia,0,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,South-Eastern Asia,11,Full provisions in law
Extent of Constitutional Right to Food,2003,South-Eastern Asia,6,Medium low
Maternity protection (Convention 183),2011,South-Eastern Asia,10,Yes
Wheat fortification legislation ,2015,South-Eastern Asia,11,Planning
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,South-Eastern Asia,11,Don't know
Bringing people into a shared space for action (%),2017,South-Eastern Asia,6,71
Ensuring a coherent policy and legal framework (%),2017,South-Eastern Asia,6,74
Aligning actions around a common results framework (%),2017,South-Eastern Asia,6,70
Financial tracking and resource mobilization (%),2017,South-Eastern Asia,6,51
Total weighed score (%),2017,South-Eastern Asia,6,66
Total population (000),2017,Southern Africa,5,65143
Under-5 population (000),2017,Southern Africa,5,6790
Urban population (%),2017,Southern Africa,5,63
>65 population (%),2017,Southern Africa,5,5
Under-5 mortality rate (deaths per 1000 live births),2015,Southern Africa,5,43
GDP per capita (PPP),2016,Southern Africa,5,11860
Poverty rates $1.90,2000-2013,Southern Africa,5,20
Poverty rates $3.10,2000-2013,Southern Africa,5,39
Stunting (millions),2016,Southern Africa,5,2
Wasting (millions),2016,Southern Africa,5,0
Overweight (millions),2016,Southern Africa,5,1
Stunting (%),2016,Southern Africa,5,28.1
Wasting (%),2016,Southern Africa,5,6
Overweight (%),2016,Southern Africa,5,11.8
Severe wasting (%),2016,Southern Africa,5,1
Low birth weight (%),2000-2012,Southern Africa,0,
Adolescent overweight (%),2003-2014,Southern Africa,0,
Adolescent obesity (%),2003-2014,Southern Africa,0,
"Women of reproductive age, thinness (%)",1994-2015,Southern Africa,0,
"Women of reproductive age, short stature (%)",1994-2015,Southern Africa,0,
Women of reproductive age with anaemia (000),2016,Southern Africa,5,4416
Women of reproductive age with anaemia (%),2016,Southern Africa,5,26
Vitamin A deficiency in children 6-59 months (%),2013,Southern Africa,5,44
Population classification of iodine status,1996-2001,Southern Africa,4,Optimal iodine nutrition
"Raised blood pressure, Male (%)",2015,Southern Africa,5,27
"Raised blood pressure, Female (%)",2015,Southern Africa,5,27
"Raised blood glucose, Male (%)",2014,Southern Africa,5,9
"Raised blood glucose, Female (%)",2014,Southern Africa,5,12
"Raised blood cholesterol, Male (%)",2008,Southern Africa,5,31
"Raised blood cholesterold, Female (%)",2008,Southern Africa,5,37
"Adult overweight and obesity, Male (%)",2014,Southern Africa,5,38
"Adult overweight and obesity, Female (%)",2014,Southern Africa,5,63
"Adult obesity, Male (%)",2014,Southern Africa,5,14
"Adult obesity, Female (%)",2014,Southern Africa,5,37
Stunting.No progress or worsening,2017,Southern Africa,,0
Stunting.On course,2017,Southern Africa,,1
Stunting.Some progress,2017,Southern Africa,,1
Stunting.Insufficient data to make assessment,2017,Southern Africa,,3
Wasting.No progress or worsening,2017,Southern Africa,,0
Wasting.On course,2017,Southern Africa,,2
Wasting.Some progress,2017,Southern Africa,,0
Wasting.Insufficient data to make assessment,2017,Southern Africa,,3
Overweight.Off course,2017,Southern Africa,,0
Overweight.On course,2017,Southern Africa,,2
Overweight.Insufficient data to make assessment,2017,Southern Africa,,3
Anaemia.No progress or worsening,2017,Southern Africa,,1
Anaemia.On course,2017,Southern Africa,,
Anaemia.Some progress,2017,Southern Africa,,4
Anaemia.Insufficient data to make assessment,2017,Southern Africa,,0
EBF.No progress or worsening,2017,Southern Africa,,0
EBF.On course,2017,Southern Africa,,2
EBF.Some progress,2017,Southern Africa,,0
EBF.Insufficient data to make assessment,2017,Southern Africa,,3
"Adult obesity, female.Insufficient data to make assessment",2017,Southern Africa,,0
"Adult obesity, female.Off course",2017,Southern Africa,,5
"Adult obesity, female.On course",2017,Southern Africa,,
"Adult obesity, male.Insufficient data to make assessment",2017,Southern Africa,,0
"Adult obesity, male.Off course",2017,Southern Africa,,5
"Adult obesity, male.On course",2017,Southern Africa,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Southern Africa,,0
"Adult diabetes, female.Off course",2017,Southern Africa,,5
"Adult diabetes, female.On course",2017,Southern Africa,,0
Adult diabetes male.Insufficient data to make assessment,2017,Southern Africa,,0
Adult diabetes male.Off course,2017,Southern Africa,,5
Adult diabetes male.On course,2017,Southern Africa,,0
Antenatal care (4+ visits),2003-2016,Southern Africa,5,85
Skilled attendant at birth,1998-2016,Southern Africa,5,94
Initiation of breastfeeding within 1 hour after birth,2003-2016,Southern Africa,5,61
Continued breastfeeding at 1 year,1995-2016,Southern Africa,5,65
Unmet need for family planning,1993-2016,Southern Africa,5,14
"Severe acute malnutrition, geographic coverage",2012,Southern Africa,0,
"Vitamin A supplementation, full coverage",2014,Southern Africa,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Southern Africa,5,43
Immunization coverage (DTP3),2016,Southern Africa,5,69
Iodized salt consumption,2000-2013,Southern Africa,0,
Exclusive breastfeeding 0-5 months (%),1999-2015,Southern Africa,5,13
Minimum acceptable diet 6-23 months (%),2010-2016,Southern Africa,0,
Minimum dietary diversity 6-23 months (%),2010-2016,Southern Africa,0,
Undernourishment (%),1990,Southern Africa,0,
Undernourishment (%),1999,Southern Africa,0,
Undernourishment (%),2009,Southern Africa,0,
Undernourishment (%),2014,Southern Africa,0,
Fruit and veg (grams),1990,Southern Africa,5,226
Fruit and veg (grams),2000,Southern Africa,5,228
Fruit and veg (grams),2010,Southern Africa,5,212
Fruit and veg (grams),2013,Southern Africa,5,226
Non-staples (%),1990,Southern Africa,5,44
Non-staples (%),1999,Southern Africa,5,42
Non-staples (%),2008,Southern Africa,5,46
Non-staples (%),2011,Southern Africa,0,
Early childbearing: births by age 18 (%),2001-2015,Southern Africa,4,15
Gender Inequality Index (score),2015,Southern Africa,5,0.407
Female secondary education enrolment rate,2006-2012,Southern Africa,3,92
Physicians,1998-2015,Southern Africa,5,0.7
Nurses and midwives,1994-2015,Southern Africa,5,4.704
Community health workers,1992-2013,Southern Africa,3,0.281
Drinking.Basic,2000,Southern Africa,5,76
Drinking.Limited,2000,Southern Africa,5,10
Drinking.Surface water,2000,Southern Africa,5,8
Drinking.Unimproved,2000,Southern Africa,5,5
Drinking.Safely managed,2000,Southern Africa,0,
Drinking.Basic,2010,Southern Africa,5,81
Drinking.Limited,2010,Southern Africa,5,10
Drinking.Surface water,2010,Southern Africa,5,5
Drinking.Unimproved,2010,Southern Africa,5,3
Drinking.Safely managed,2010,Southern Africa,0,
Drinking.Basic,2015,Southern Africa,5,83
Drinking.Limited,2015,Southern Africa,5,10
Drinking.Surface water,2015,Southern Africa,5,4
Drinking.Unimproved,2015,Southern Africa,5,3
Drinking.Safely managed,2015,Southern Africa,0,
Sanitation.Basic,2000,Southern Africa,5,56
Sanitation.Limited,2000,Southern Africa,5,13
Sanitation.Safely managed,2000,Southern Africa,0,
Sanitation.Unimproved,2000,Southern Africa,5,15
Sanitation.Open defecation,2000,Southern Africa,5,16
Sanitation.Basic,2010,Southern Africa,5,66
Sanitation.Limited,2010,Southern Africa,5,15
Sanitation.Safely managed,2010,Southern Africa,0,
Sanitation.Unimproved,2010,Southern Africa,5,11
Sanitation.Open defecation,2010,Southern Africa,5,9
Sanitation.Basic,2015,Southern Africa,5,70
Sanitation.Limited,2015,Southern Africa,5,16
Sanitation.Safely managed,2015,Southern Africa,0,
Sanitation.Unimproved,2015,Southern Africa,5,8
Sanitation.Open defecation,2015,Southern Africa,5,6
Agriculture,1990,Southern Africa,0,
Education,1990,Southern Africa,0,
Health,1990,Southern Africa,0,
Social protection,1990,Southern Africa,0,
Agriculture,2000,Southern Africa,5,1
Education,2000,Southern Africa,5,6
Health,2000,Southern Africa,5,3
Social protection,2000,Southern Africa,5,1
Agriculture,2010,Southern Africa,5,1
Education,2010,Southern Africa,5,6
Health,2010,Southern Africa,5,5
Social protection,2010,Southern Africa,5,0
Agriculture,2012,Southern Africa,4,1
Education,2012,Southern Africa,4,6
Health,2012,Southern Africa,4,4
Social protection,2012,Southern Africa,4,10
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Southern Africa,5,No legal measures
Extent of Constitutional Right to Food,2003,Southern Africa,2,Medium
Maternity protection (Convention 183),2011,Southern Africa,5,Partial
Wheat fortification legislation ,2015,Southern Africa,5,Planning
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Southern Africa,5,Yes
Bringing people into a shared space for action (%),2017,Southern Africa,,
Ensuring a coherent policy and legal framework (%),2017,Southern Africa,,
Aligning actions around a common results framework (%),2017,Southern Africa,,
Financial tracking and resource mobilization (%),2017,Southern Africa,,
Total weighed score (%),2017,Southern Africa,,
Total population (000),2017,Southern Asia,9,1868985
Under-5 population (000),2017,Southern Asia,9,176463
Urban population (%),2017,Southern Asia,9,36
>65 population (%),2017,Southern Asia,9,6
Under-5 mortality rate (deaths per 1000 live births),2015,Southern Asia,9,49
GDP per capita (PPP),2016,Southern Asia,8,5618
Poverty rates $1.90,2000-2013,Southern Asia,8,27
Poverty rates $3.10,2000-2013,Southern Asia,8,62
Stunting (millions),2016,Southern Asia,9,61
Wasting (millions),2016,Southern Asia,9,28
Overweight (millions),2016,Southern Asia,8,8
Stunting (%),2016,Southern Asia,9,34
Wasting (%),2016,Southern Asia,9,15
Overweight (%),2016,Southern Asia,8,4.4
Severe wasting (%),2016,Southern Asia,9,5
Low birth weight (%),2000-2012,Southern Asia,8,27
Adolescent overweight (%),2003-2014,Southern Asia,3,10
Adolescent obesity (%),2003-2014,Southern Asia,3,2
"Women of reproductive age, thinness (%)",1994-2015,Southern Asia,5,31
"Women of reproductive age, short stature (%)",1994-2015,Southern Asia,5,11
Women of reproductive age with anaemia (000),2016,Southern Asia,9,234214
Women of reproductive age with anaemia (%),2016,Southern Asia,9,49
Vitamin A deficiency in children 6-59 months (%),2013,Southern Asia,9,42
Population classification of iodine status,1996-2001,Southern Asia,9,Optimal iodine nutrition
"Raised blood pressure, Male (%)",2015,Southern Asia,9,27
"Raised blood pressure, Female (%)",2015,Southern Asia,9,25
"Raised blood glucose, Male (%)",2014,Southern Asia,9,10
"Raised blood glucose, Female (%)",2014,Southern Asia,9,9
"Raised blood cholesterol, Male (%)",2008,Southern Asia,9,28
"Raised blood cholesterold, Female (%)",2008,Southern Asia,9,31
"Adult overweight and obesity, Male (%)",2014,Southern Asia,9,18
"Adult overweight and obesity, Female (%)",2014,Southern Asia,9,24
"Adult obesity, Male (%)",2014,Southern Asia,9,3
"Adult obesity, Female (%)",2014,Southern Asia,9,7
Stunting.No progress or worsening,2017,Southern Asia,,0
Stunting.On course,2017,Southern Asia,,1
Stunting.Some progress,2017,Southern Asia,,2
Stunting.Insufficient data to make assessment,2017,Southern Asia,,6
Wasting.No progress or worsening,2017,Southern Asia,,3
Wasting.On course,2017,Southern Asia,,0
Wasting.Some progress,2017,Southern Asia,,0
Wasting.Insufficient data to make assessment,2017,Southern Asia,,6
Overweight.Off course,2017,Southern Asia,,1
Overweight.On course,2017,Southern Asia,,1
Overweight.Insufficient data to make assessment,2017,Southern Asia,,7
Anaemia.No progress or worsening,2017,Southern Asia,,6
Anaemia.On course,2017,Southern Asia,,
Anaemia.Some progress,2017,Southern Asia,,3
Anaemia.Insufficient data to make assessment,2017,Southern Asia,,0
EBF.No progress or worsening,2017,Southern Asia,,2
EBF.On course,2017,Southern Asia,,0
EBF.Some progress,2017,Southern Asia,,1
EBF.Insufficient data to make assessment,2017,Southern Asia,,6
"Adult obesity, female.Insufficient data to make assessment",2017,Southern Asia,,0
"Adult obesity, female.Off course",2017,Southern Asia,,9
"Adult obesity, female.On course",2017,Southern Asia,,
"Adult obesity, male.Insufficient data to make assessment",2017,Southern Asia,,0
"Adult obesity, male.Off course",2017,Southern Asia,,9
"Adult obesity, male.On course",2017,Southern Asia,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Southern Asia,,0
"Adult diabetes, female.Off course",2017,Southern Asia,,9
"Adult diabetes, female.On course",2017,Southern Asia,,0
Adult diabetes male.Insufficient data to make assessment,2017,Southern Asia,,0
Adult diabetes male.Off course,2017,Southern Asia,,9
Adult diabetes male.On course,2017,Southern Asia,,0
Antenatal care (4+ visits),2003-2016,Southern Asia,9,45
Skilled attendant at birth,1998-2016,Southern Asia,9,75
Initiation of breastfeeding within 1 hour after birth,2003-2016,Southern Asia,9,44
Continued breastfeeding at 1 year,1995-2016,Southern Asia,9,85
Unmet need for family planning,1993-2016,Southern Asia,8,13
"Severe acute malnutrition, geographic coverage",2012,Southern Asia,5,10
"Vitamin A supplementation, full coverage",2014,Southern Asia,6,60
Children under 5 with diarrhoea receiving ORS,2000-2016,Southern Asia,9,44
Immunization coverage (DTP3),2016,Southern Asia,9,87
Iodized salt consumption,2000-2013,Southern Asia,7,69
Exclusive breastfeeding 0-5 months (%),1999-2015,Southern Asia,9,60
Minimum acceptable diet 6-23 months (%),2010-2016,Southern Asia,5,13
Minimum dietary diversity 6-23 months (%),2010-2016,Southern Asia,5,23
Undernourishment (%),1990,Southern Asia,8,24
Undernourishment (%),1999,Southern Asia,8,18
Undernourishment (%),2009,Southern Asia,8,16
Undernourishment (%),2014,Southern Asia,7,16
Fruit and veg (grams),1990,Southern Asia,8,221
Fruit and veg (grams),2000,Southern Asia,8,266
Fruit and veg (grams),2010,Southern Asia,8,338
Fruit and veg (grams),2013,Southern Asia,8,373
Non-staples (%),1990,Southern Asia,8,33
Non-staples (%),1999,Southern Asia,8,36
Non-staples (%),2008,Southern Asia,8,39
Non-staples (%),2011,Southern Asia,6,40
Early childbearing: births by age 18 (%),2001-2015,Southern Asia,9,21
Gender Inequality Index (score),2015,Southern Asia,9,0.53
Female secondary education enrolment rate,2006-2012,Southern Asia,7,58
Physicians,1998-2015,Southern Asia,9,0.721
Nurses and midwives,1994-2015,Southern Asia,9,1.653
Community health workers,1992-2013,Southern Asia,0,
Drinking.Basic,2000,Southern Asia,9,69
Drinking.Limited,2000,Southern Asia,9,3
Drinking.Surface water,2000,Southern Asia,9,2
Drinking.Unimproved,2000,Southern Asia,9,12
Drinking.Safely managed,2000,Southern Asia,0,
Drinking.Basic,2010,Southern Asia,9,73
Drinking.Limited,2010,Southern Asia,9,4
